;April 21, 1997: Danske Punktskriftnëvn - 1993
;DANISH TABLE (with the Danish Braille Authority's 1993 Braille Code Changes)
;format type|match|replace
;match strings MUST be in lexical order!
ca=|
kc=1
gm=2
;hd=danish.dic
;hm=39c:\nfbtrans\danish.err
;pw=34   ;page width (usable cells per across line)
;cl=28   ;centered lines width (maximum number of cells to center [pw-6])
;pl=26   ;page length (number of lines on each braille page)
2|^I|.I
2|^J|.J
2|^K|.K
2|^L|.L
2|^M|.M
2|^N|.N
2|^O|.O
2|^P|.P
2|^Q|.Q
2|^R|.R
2|^S|.S
2|^T|.T
2|^U|.U
2|^V|.V
2|^W|.W
2|^X|.X
2|^Y|.Y
2|^Z|.Z
21|^^|_
2|^Ü|.*
2|^è|.*
21|^|.
21|_|;
21|`|
1||+     127   Paragraph Symbol (or section symbol 
1|Ä|"C    128
1|Å|,\    129
1|Ç|"E    130
1|É|"A    131
1|Ñ|>     132
1|Ö|"A    133
1|Ü|*     134
1|á|"C    135
1|à|"E    136
1|â|"E    137
1|ä|"E    138
1|ã|"I    139
1|å|"I    140
1|ç|"I    141
1|é|>     142
1|è|*     143
1|ê|"E    144
1|ë|>     145
1|í|>     146
1|ì|"O    147 
1|î|[     148      
1|ï|"O    149
1|ñ|"U    150
1|ó|"U    151
1|ô|[     153
1|ö|,\    154
1|†|"A
1|°|"I
1|¢|"O
1|£|"U
1|§|"N
1|•|"N
1|¶|*
21|Æ|7
21|Ø|7
1|€|^
1|Ì|3    237    Slashed "o", also equivalent to î
1|ˆ|4    246    "Divided by" symbol
1|¯|@0   248    Degrees Symbol
1|˘|'    249    Multiplication symbol
1|˚|%    251    Square Root Symbol
1|¸|+    252    Exponential Symbol

